id,address,address_city,address_neighborhood,address_state,cnpj,day_trade,email,iss,login_access_code,login_cpf,login_email,login_password,login_token,logo,name,phone,status,swing_trade,tipo,website
3,AV AFRANIO DE MELO FRANCO	290 - SALA 708,RIO DE JANEIRO - RJ,true,SP,02.332.886/0001-04,5.00,atendimento@xpi.com.br,5.00,true,true,true,true,true,3.png,XP INVESTIMENTOS CCTVM S/A,(55 21) 3265-3700,ATIVO,5.00,Mercado a Vista,www.xpi.com.br
8,AV. FARIA LIMA	4.44 - 7° ANDAR PARTE,SAO PAULO - SP,true,SP,02.819.125/0001-73,5.30,atendimento.cctvm@ubs.com,5.00,true,true,true,true,true,8.png,UBS BRASIL CCTVM S/A,(55 11) 4504-7290,ATIVO,5.00,TIPO,http://www.ubs.com/br/pt.html
29,AV NOSSA SENHORA DA PENHA	2035 - TERREO E 3º ANDAR,VITORIA - ES,true,SP,28.156.214/0001-70,5.00,agentes@uniletra.com.br,5.00,true,true,true,true,true,29.png,UNILETRA CCTVM S.A.,55 27 4009-0456,ATIVO,5.00,TIPO,www.uniletra.com.br
11,AV. ANGELICA	2.491 - 6° ANDAR - CJ. 61,0,true,,61.723.847/0001-99,5.00,0,5.00,true,true,true,true,true,11.png,MAGLIANO S.A. CCVM,0,ATIVO,5.00,TIPO,0
39,PR DE BOTAFOGO	300 - SALA 601 E 301 (PARTE),RIO DE JANEIRO - RJ,true,,74.014.747/0001-35,5.14,assessoria@agorainvest.com.br,5.00,true,true,true,true,true,39.png,AGORA CTVM S/A,4004 8282,ATIVO,5.00,ACAO,www.agorainvest.com.br
4,AL SANTOS	466 - 6° ANDAR,SAO PAULO - SP,true,,62.178.421/0001-64,5.20,mbol@alfacorretora.com.br,5.00,true,true,true,true,true,4.png,ALFA CCVM S.A.,(55 11) 3175-5582,ATIVO,5.00,,www.bancoalfa.com.br
13,AV BRIG FARIA LIMA	3400 - CONJUNTO 161,PARTE A,true,,02.670.590/0001-95,5.40,mlcorretora_mlcorretora@ml.com,5.00,true,true,true,true,true,13.png,MERRILL LYNCH S/A CTVM,(55 11) 2188-4000,ATIVO,5.00,,0
15,RUA BOA VISTA	356 - 7° ANDAR,SAO PAULO - SP,true,,65.913.436/0001-17,5.50,atendimento.corretora@indusval.com.br,5.00,true,true,true,true,true,15.png,GUIDE INVESTIMENTOS S.A. CV,55 11 3576-6770,ATIVO,5.00,,www.indusvaltrade.com.br
16,AV BRIG FARIA LIMA	3.729 - 13º ANDAR (PARTE),SAO PAULO - SP,true,,32.588.139/0001-94,5.60,0,5.00,true,true,true,true,true,16.png,J. P. MORGAN CCVM S.A.,(55 11) 4950-3700,ATIVO,5.00,,0
18,R MIGUEL CALMON	398 - 2º ANDAR/PARTE,SALVADOR - BA,true,,15.213.150/0001-50,5.70,bbmccvm@bancobbm.com.br,5.00,true,true,true,true,true,18.png,BOCOM BBM CCVM S/A,(55 71) 4009-6000,ATIVO,5.00,,www.bancobbm.com.br
